Model Version,LR Schedule,CV Score,Training Time (s)
b0,Cosine,0.7863807916598842,62165.50155162811
b0,Step,0.7910394194090419,78650.57674980164
b1,Cosine,0.7289745748160203,157852.49883842468
b1,Step,0.7414466689892297,182383.24609041214
b2,Cosine,0.7181471931728146,216667.17246818542
b2,Step,0.7354581676956451,252933.17500519753
