Model Version,LR Schedule,CV Score,Training Time (s)
b0,Cosine,2.05345199176685,0.0
b0,Step,2.05345199176685,0.0
b1,Cosine,2.05345199176685,0.0
b1,Step,2.05345199176685,0.0
b2,Cosine,2.05345199176685,0.0
b2,Step,2.05345199176685,0.0
b3,Cosine,2.05345199176685,0.0
b3,Step,2.05345199176685,0.0
b4,Cosine,2.05345199176685,0.0
b4,Step,2.05345199176685,0.0
b5,Cosine,2.05345199176685,0.0
b5,Step,2.05345199176685,0.0
